Date,Sales,Dollar,Average,Median,Total,Months
,,Volume,Price,Price,Listings,Inventory
Jan-11,540,"124,876,357","231,253","188,802","4,712",5.5
Feb-11,581,"139,385,191","239,906","195,185","4,797",5.6
Mar-11,878,"209,365,091","238,457","195,000","4,981",5.9
Apr-11,953,"227,389,034","238,603","203,500","5,295",6.5
May-11,937,"226,338,215","241,556","195,900","5,264",6.6
Jun-11,"1,197","297,124,749","248,225","204,155","5,313",6.6
Jul-11,"1,028","254,312,989","247,386","209,900","5,090",6.2
Aug-11,"1,147","276,299,880","240,889","201,000","4,669",5.5
Sep-11,870,"208,964,643","240,189","203,480","4,396",5.1
Oct-11,797,"183,404,544","230,119","195,500","4,195",4.8
Nov-11,729,"164,520,346","225,679","185,000","3,917",4.5
Dec-11,804,"191,420,362","238,085","197,854","3,480",4
Jan-12,602,"144,532,474","240,087","190,100","3,507",4
Feb-12,757,"179,533,979","237,165","200,000","3,703",4.2
Mar-12,"1,015","230,734,205","227,324","192,000","3,829",4.2
Apr-12,"1,031","252,664,365","245,067","205,000","3,804",4.2
May-12,"1,271","326,690,977","257,035","206,708","3,850",4.1
Jun-12,"1,421","360,335,069","253,579","210,000","3,848",4
Jul-12,"1,271","312,582,172","245,934","216,000","3,857",4
Aug-12,"1,282","322,995,721","251,947","212,000","3,677",3.7
Sep-12,"1,061","264,001,771","248,824","210,000","3,505",3.5
Oct-12,"1,013","251,161,553","247,938","200,000","3,232",3.2
Nov-12,981,"239,099,561","243,730","202,000","2,887",2.8
Dec-12,954,"239,016,350","250,541","212,750","2,577",2.4
Jan-13,747,"185,564,235","248,413","210,500","2,556",2.4
Feb-13,824,"207,038,610","251,260","210,000","2,605",2.4
Mar-13,"1,270","324,173,593","255,255","218,000","2,625",2.4
Apr-13,"1,454","390,880,847","268,831","231,250","2,644",2.3
May-13,"1,594","443,794,627","278,416","234,900","2,740",2.4
Jun-13,"1,610","455,325,301","282,811","242,000","2,888",2.5
Jul-13,"1,692","454,920,278","268,865","230,505","3,001",2.5
Aug-13,"1,616","446,283,748","276,166","235,000","3,006",2.4
Sep-13,"1,292","350,056,455","270,942","228,750","2,826",2.3
Oct-13,"1,133","311,447,265","274,887","228,000","2,634",2.1
Nov-13,"1,037","282,556,591","272,475","232,000","2,428",1.9
Dec-13,"1,085","298,843,403","275,432","240,000","2,142",1.7
Jan-14,747,"189,417,547","253,571","220,000","2,212",1.7
Feb-14,946,"267,314,913","282,574","248,000","2,277",1.8
Mar-14,"1,128","329,054,549","291,715","244,125","2,299",1.8
Apr-14,"1,274","383,243,192","300,819","249,950","2,469",2
May-14,"1,541","452,640,394","293,732","251,000","2,667",2.1
Jun-14,"1,690","507,569,629","300,337","261,500","2,666",2.1
Jul-14,"1,694","512,106,783","302,306","260,000","2,766",2.2
Aug-14,"1,604","481,208,300","300,005","255,000","2,744",2.2
