Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
Jan-90,"1,943","204,559,040","105,280","86,416","31,342",16.1
Feb-90,"1,686","180,398,628","106,998","85,477","31,818",17.5
Mar-90,"2,625","274,257,375","104,479","84,503","32,670",15.7
Apr-90,"2,387","255,268,167","106,941","83,744","33,250",15.4
May-90,"2,520","282,232,440","111,997","84,106","33,316",14.9
Jun-90,"2,521","279,064,616","110,696","91,391","36,503",16
Jul-90,"2,859","309,955,626","108,414","86,728","33,297",14.1
Aug-90,"2,821","309,816,325","109,825","85,564","32,214",13.3
Sep-90,"2,184","235,131,624","107,661","85,401","35,677",14.9
Oct-90,"2,142","209,072,052","97,606","80,331","34,938",14.7
Nov-90,"2,077","204,416,263","98,419","81,119","34,733",14.8
Dec-90,"2,045","199,452,940","97,532","79,617","31,666",13.7
Jan-91,"1,752","175,816,704","100,352","79,234","32,959",14.3
Feb-91,"1,689","164,142,087","97,183","86,770","34,066",14.8
Mar-91,"2,134","224,104,144","105,016","81,243","35,335",15.6
Apr-91,"2,375","262,988,500","110,732","82,120","35,214",15.6
May-91,"2,890","326,674,040","113,036","84,610","35,376",15.4
Jun-91,"2,964","316,958,304","106,936","85,677","35,637",15.3
Jul-91,"2,611","295,040,389","112,999","87,500","35,669",15.5
Aug-91,"2,825","301,834,300","106,844","78,985","30,653",13.3
Sep-91,"2,284","249,015,384","109,026","76,398","30,040",13
Oct-91,"2,117","221,990,737","104,861","82,157","30,712",13.3
Nov-91,"1,914","208,635,570","109,005","84,287","28,533",12.4
Dec-91,"1,895","212,156,620","111,956","88,485","27,331",11.9
Jan-92,"1,538","167,768,116","109,082","86,326","28,687",12.6
Feb-92,"1,914","204,403,716","106,794","86,681","29,420",12.9
Mar-92,"2,710","297,192,150","109,665","87,974","30,308",13
Apr-92,"2,789","320,461,678","114,902","88,955","30,711",13
May-92,"2,846","332,401,416","116,796","87,276","30,719",13
Jun-92,"3,025","336,839,800","111,352","87,570","30,652",12.9
Jul-92,"2,873","314,475,707","109,459","88,824","30,456",12.7
Aug-92,"2,849","318,854,382","111,918","90,913","29,852",12.5
Sep-92,"2,580","276,748,860","107,267","86,290","29,202",12.1
Oct-92,"2,648","286,963,760","108,370","85,979","28,519",11.6
Nov-92,"2,366","250,445,832","105,852","87,800","27,395",10.9
Dec-92,"2,643","289,236,705","109,435","87,076","24,842",9.7
Jan-93,"1,791","196,024,950","109,450","88,711","25,956",10
Feb-93,"1,899","201,620,628","106,172","83,371","27,360",10.6
Mar-93,"2,652","285,540,840","107,670","87,819","28,402",11
Apr-93,"2,736","317,012,112","115,867","89,402","29,199",11.3
May-93,"3,067","342,464,287","111,661","90,439","29,438",11.3
Jun-93,"3,571","444,489,512","124,472","94,204","29,118",11
Jul-93,"3,449","417,270,367","120,983","93,595","28,849",10.7
Aug-93,"3,443","389,689,069","113,183","90,799","27,880",10.2
Sep-93,"3,012","340,283,712","112,976","89,082","27,022",9.7
Oct-93,"2,758","320,156,914","116,083","90,747","26,554",9.5
Nov-93,"2,685","309,612,720","115,312","92,103","25,555",9.1
Dec-93,"2,788","315,911,068","113,311","91,415","23,668",8.4
Jan-94,"1,874","214,215,066","114,309","88,476","24,608",8.7
Feb-94,"2,042","227,000,972","111,166","91,537","20,718",7.3
Mar-94,"3,216","382,427,424","118,914","94,462","20,998",7.3
Apr-94,"3,224","388,791,832","120,593","92,275","21,436",7.3
May-94,"3,359","391,625,810","116,590","93,112","21,439",7.3
Jun-94,"3,427","394,793,827","115,201","91,815","21,439",7.3
Jul-94,"3,370","403,348,560","119,688","92,243","21,355",7.3
Aug-94,"3,464","411,609,800","118,825","93,483","20,916",7.1
Sep-94,"2,839","310,984,060","109,540","89,422","20,335",7
Oct-94,"2,593","295,275,282","113,874","90,105","20,046",6.9
Nov-94,"2,428","274,645,648","113,116","88,293","19,380",6.7
Dec-94,"2,410","280,957,800","116,580","92,268","21,741",7.6
Jan-95,"1,699","199,194,158","117,242","86,830","23,088",8.1
Feb-95,"2,059","240,367,660","116,740","90,750","23,942",8.4
Mar-95,"2,759","323,829,348","117,372","88,426","24,385",8.7
Apr-95,"2,273","260,476,708","114,596","89,268","24,927",9.2
May-95,"3,748","445,884,568","118,966","91,268","25,339",9.2
Jun-95,"4,222","506,281,130","119,915","96,975","24,806",8.8
Jul-95,"3,969","489,949,236","123,444","98,766","24,476",8.5
Aug-95,"4,465","541,041,910","121,174","96,869","24,211",8.2
Sep-95,"3,478","418,831,194","120,423","95,128","23,698",7.9
Oct-95,"3,361","399,733,813","118,933","93,677","23,500",7.6
Nov-95,"3,090","372,697,260","120,614","95,727","23,282",7.4
Dec-95,"3,073","370,536,194","120,578","95,251","21,279",6.7
Jan-96,"2,454","310,882,536","126,684","98,653","22,949",7.1
Feb-96,"2,981","353,963,940","118,740","95,861","25,497",7.7
Mar-96,"3,789","466,611,561","123,149","100,074","24,433",7.2
Apr-96,"4,167","511,390,908","122,724","97,669","24,754",6.9
May-96,"4,570","585,659,210","128,153","100,018","24,964",6.9
Jun-96,"4,307","562,929,207","130,701","102,652","26,038",7.1
Jul-96,"4,571","597,891,371","130,801","102,156","25,456",6.9
Aug-96,"4,375","564,746,875","129,085","99,974","24,904",6.8
Sep-96,"3,604","449,098,044","124,611","97,360","24,722",6.7
Oct-96,"3,478","434,057,878","124,801","99,439","22,794",6.2
Nov-96,"3,193","397,285,832","124,424","99,371","22,376",6
Dec-96,"3,274","410,618,532","125,418","98,923","20,362",5.5
Jan-97,"2,526","315,123,552","124,752","96,312","20,984",5.6
Feb-97,"3,085","385,807,015","125,059","98,250","20,679",5.5
Mar-97,"3,902","510,377,698","130,799","102,558","21,582",5.7
Apr-97,"4,026","532,072,134","132,159","102,090","24,190",6.5
May-97,"4,768","639,975,264","134,223","104,815","24,566",6.5
Jun-97,"4,835","657,676,040","136,024","106,824","24,628",6.5
Jul-97,"5,255","706,781,735","134,497","107,031","24,344",6.3
Aug-97,"4,964","672,979,408","135,572","105,968","23,744",6.1
Sep-97,"4,395","582,051,825","132,435","106,001","23,260",5.9
Oct-97,"4,390","587,412,730","133,807","105,706","22,407",5.5
Nov-97,"3,555","469,732,815","132,133","105,605","21,406",5.2
Dec-97,"4,131","575,064,117","139,207","109,869","20,274",4.9
Jan-98,"3,024","398,421,072","131,753","105,452","20,711",4.9
Feb-98,"3,730","503,232,950","134,915","107,747","20,751",4.9
Mar-98,"4,981","684,962,215","137,515","109,791","21,072",4.9
Apr-98,"5,080","693,983,880","136,611","108,866","21,074",4.8
May-98,"5,579","826,216,426","148,094","115,508","21,402",4.8
Jun-98,"6,168","908,953,488","147,366","116,286","21,530",4.7
Jul-98,"6,111","898,347,555","147,005","114,897","21,485",4.6
Aug-98,"5,480","794,906,880","145,056","113,917","21,622",4.6
Sep-98,"4,528","622,849,040","137,555","110,607","21,543",4.6
Oct-98,"4,576","647,947,872","141,597","111,125","16,133",3.4
Nov-98,"4,159","575,414,286","138,354","110,807","15,330",3.2
Dec-98,"4,482","645,730,704","144,072","114,027","17,034",3.5
Jan-99,"3,158","465,217,612","147,314","112,176","18,737",3.9
Feb-99,"4,066","586,370,058","144,213","113,557","20,441",4.2
Mar-99,"5,564","813,050,628","146,127","115,094","22,144",4.5
Apr-99,"5,445","795,176,910","146,038","114,561","22,774",4.6
May-99,"5,868","888,444,540","151,405","118,844","23,282",4.7
Jun-99,"6,756","1,085,493,276","160,671","122,401","24,028",4.8
Jul-99,"6,368","956,537,280","150,210","118,488","24,053",4.8
Aug-99,"6,030","877,738,860","145,562","116,400","23,680",4.7
Sep-99,"5,295","757,709,205","143,099","112,816","23,549",4.6
Oct-99,"4,780","706,402,740","147,783","114,255","23,247",4.5
Nov-99,"4,700","708,341,700","150,711","114,783","22,207",4.3
Dec-99,"4,889","741,661,300","151,700","118,569","21,366",4.1
Jan-00,"3,309","516,647,406","156,134","119,184","22,281",4.2
Feb-00,"4,734","750,353,202","158,503","120,527","22,491",4.2
Mar-00,"6,230","970,428,410","155,767","121,982","22,538",4.2
Apr-00,"5,684","904,108,408","159,062","125,030","22,507",4.2
May-00,"6,617","1,073,323,719","162,207","128,678","22,790",4.2
Jun-00,"6,807","1,150,076,685","168,955","131,386","23,293",4.3
Jul-00,"6,142","1,031,898,994","168,007","131,913","23,916",4.4
Aug-00,"6,428","1,074,472,340","167,155","128,136","23,739",4.3
Sep-00,"5,300","878,183,500","165,695","129,107","24,376",4.5
Oct-00,"5,251","860,659,904","163,904","126,995","24,587",4.5
Nov-00,"4,951","812,563,071","164,121","127,477","23,762",4.3
Dec-00,"4,543","768,452,993","169,151","130,782","22,576",4.1
1-Jan,"3,743","590,656,629","157,803","124,131","24,130",4.4
1-Feb,"4,803","795,251,922","165,574","131,349","24,574",4.4
1-Mar,"6,345","1,054,761,075","166,235","133,521","25,601",4.6
1-Apr,"5,790","960,520,470","165,893","132,906","26,869",4.8
1-May,"6,839","1,162,602,644","169,996","134,357","27,840",5
1-Jun,"7,281","1,288,605,942","176,982","138,812","28,587",5.1
1-Jul,"6,925","1,210,524,625","174,805","138,274","29,076",5.1
1-Aug,"6,736","1,159,407,056","172,121","134,495","28,813",5
1-Sep,"5,220","867,642,300","166,215","135,239","29,299",5.1
1-Oct,"5,075","781,133,850","153,918","128,038","29,766",5.2
1-Nov,"5,018","826,349,186","164,677","135,309","28,553",5
1-Dec,"5,053","853,881,205","168,985","135,475","26,900",4.7
2-Jan,"4,209","697,027,236","165,604","132,926","28,368",4.9
2-Feb,"5,031","840,005,946","166,966","134,335","29,324",5.1
2-Mar,"5,897","1,015,504,679","172,207","137,440","29,949",5.2
2-Apr,"6,139","1,055,668,579","171,961","136,030","31,009",5.4
2-May,"6,905","1,246,759,895","180,559","138,578","32,274",5.6
2-Jun,"6,548","1,145,094,596","174,877","140,433","33,330",5.8
2-Jul,"6,863","1,223,014,052","178,204","139,387","34,740",6.1
2-Aug,"6,462","1,134,643,194","175,587","138,647","34,784",6.1
2-Sep,"5,494","902,026,896","164,184","134,647","35,498",6.2
2-Oct,"5,482","927,992,960","169,280","135,859","35,445",6.2
2-Nov,"5,073","855,277,362","168,594","135,185","34,421",6
2-Dec,"5,645","990,985,395","175,551","140,030","32,735",5.6
3-Jan,"4,153","691,237,779","166,443","133,681","35,552",6.1
3-Feb,"4,545","782,280,855","172,119","137,567","36,548",6.3
3-Mar,"6,165","1,063,018,620","172,428","138,351","38,255",6.6
