Date,Sales,Dollar,Average,Median,Total,Months
,,Volume,Price,Price,Listings,Inventory
Jan-11,957,"185,458,116","193,791","110,000",,
Feb-11,"1,096","237,443,364","216,645","115,500",,
Mar-11,"1,617","350,896,253","217,004","115,000",,
Apr-11,"1,625","379,341,459","233,441","125,250",,
May-11,"1,782","418,942,746","235,097","132,925",,
Jun-11,"1,891","420,146,810","222,182","126,000",,
Jul-11,"1,634","350,890,343","214,743","129,900",,
Aug-11,"1,842","397,757,617","215,938","129,000",,
Sep-11,"1,489","277,423,321","186,315","120,000",,
Oct-11,"1,381","282,353,249","204,456","116,000",,
Nov-11,"1,403","257,280,307","183,379","118,000",,
Dec-11,"1,451","318,673,839","219,624","128,000",,
Jan-12,"1,083","206,321,261","190,509","110,975",,
Feb-12,"1,294","267,548,555","206,761","125,250",,
Mar-12,"1,722","412,985,439","239,829","145,000",,
Apr-12,"1,818","411,638,435","226,424","134,000",,
May-12,"2,082","515,034,104","247,375","147,000",,
Jun-12,"2,034","488,786,881","240,308","146,450",,
Jul-12,"1,979","475,844,296","240,447","145,000",,
Aug-12,"2,070","462,713,580","223,533","145,000",,
Sep-12,"1,699","373,525,851","219,850","136,575",,
Oct-12,"1,694","347,799,394","205,313","133,750",,
Nov-12,"1,638","365,697,739","223,259","135,000",,
Dec-12,"1,628","391,015,305","240,181","147,000",,
Jan-13,"1,315","254,506,203","193,541","122,000",,
Feb-13,"1,482","310,717,416","209,661","140,000",,
Mar-13,"2,107","531,951,609","252,469","157,000",,
Apr-13,"2,190","622,124,830","284,075","169,000",,
May-13,"2,445","676,158,516","276,547","176,200",,
Jun-13,"2,330","669,204,836","287,212","175,000",,
Jul-13,"2,384","633,905,054","265,900","175,000",,
Aug-13,"2,331","613,804,958","263,323","169,900",,
Sep-13,"1,890","459,497,729","243,120","160,000",,
Oct-13,"1,900","455,852,216","239,922","156,000",,
Nov-13,"1,566","397,380,546","253,755","152,000",,
Dec-13,"1,765","472,165,792","267,516","166,500",,
Jan-14,"1,292","304,416,563","235,617","149,950",,
Feb-14,"1,543","425,230,907","275,587","162,900",,
Mar-14,"1,901","515,772,379","271,316","170,000",,
Apr-14,"2,102","590,596,147","280,969","170,000",,
May-14,"2,273","675,297,769","297,095","175,500",,
Jun-14,"2,391","664,935,606","278,099","180,000",,
Jul-14,"2,263","646,824,493","285,826","177,725",,
Aug-14,"2,166","564,315,574","260,534","170,000",,
Sep-14,"1,957","506,801,711","258,969","169,500",,
Oct-14,"1,991","539,877,419","271,159","167,000",,
Nov-14,"1,560","408,194,095","261,663","165,000",,
Dec-14,"1,874","557,025,993","297,239","185,000",,
Jan-15,"1,228","290,807,385","236,814","155,000","3,924",2
Feb-15,"1,567","447,834,744","285,791","176,500","3,777",1.9
Mar-15,"2,059","603,073,127","292,896","189,900","3,724",1.9
Apr-15,"2,114","656,712,730","310,649","190,000","4,022",2.1
May-15,"2,281","712,743,657","312,470","200,000","4,139",2.1
Jun-15,"2,410","762,738,932","316,489","204,500","4,441",2.3
Jul-15,"2,507","745,526,642","297,378","190,000","4,916",2.5
Aug-15,"2,331","644,170,298","276,349","184,900","4,709",2.4
Sep-15,"2,108","587,185,041","278,551","180,000","4,999",2.5
Oct-15,"2,025","561,558,592","277,313","185,600","4,847",2.4
Nov-15,"1,646","465,241,042","282,649","180,500","4,389",2.2
Dec-15,"2,189","660,776,796","301,862","190,000","3,539",1.7
Jan-16,"1,443","365,070,564","252,994","169,950","3,853",1.9
Feb-16,"1,744","473,576,257","271,546","188,000","3,932",1.9
Mar-16,"2,266","686,188,700","302,819","199,900","4,151",2
Apr-16,"2,311","724,608,714","313,548","210,000","4,257",2
May-16,"2,412","804,053,008","333,355","223,000","4,260",2
Jun-16,"2,400","792,965,962","330,402","225,910","4,581",2.2
Jul-16,"2,159","641,875,850","297,302","208,000","4,812",2.3
Aug-16,"2,408","740,604,786","307,560","207,500","4,646",2.2
Sep-16,"2,214","706,785,402","319,235","210,000","4,879",2.3
Oct-16,"1,990","623,793,109","313,464","206,500","4,705",2.2
Nov-16,"1,946","627,114,291","322,258","215,000","4,337",2
Dec-16,"2,014","629,182,905","312,405","215,000","3,560",1.7
Jan-17,"1,427","411,574,799","288,420","197,000","3,935",1.9
Feb-17,"1,633","532,605,355","326,151","220,000","4,127",2
Mar-17,"2,358","807,358,925","342,391","229,900","4,473",2.1
Apr-17,"2,174","714,774,608","328,783","235,000","4,487",2.1
