Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,421,"89,955,240","213,670","170,500","3,890",5.6
11-Feb,487,"110,060,399","225,997","184,500","3,914",5.6
11-Mar,654,"144,106,590","220,346","171,225","4,107",6
11-Apr,755,"164,406,927","217,758","172,250","4,194",6.3
11-May,848,"191,092,415","225,345","186,000","4,158",6.4
11-Jun,931,"213,534,113","229,360","185,000","4,114",6.4
11-Jul,903,"205,613,703","227,701","187,076","4,061",6.1
11-Aug,911,"210,681,142","231,264","179,000","3,819",5.6
11-Sep,751,"160,715,813","214,002","174,500","3,644",5.2
11-Oct,633,"141,854,435","224,099","184,400","3,530",5
11-Nov,628,"138,499,910","220,541","171,274","3,383",4.8
11-Dec,686,"154,711,116","225,526","174,710","3,138",4.4
12-Jan,496,"104,715,251","211,119","170,000","3,128",4.3
12-Feb,622,"136,562,765","219,554","179,945","3,201",4.4
12-Mar,832,"179,972,308","216,313","179,250","3,316",4.4
12-Apr,956,"250,725,894","262,266","185,000","3,378",4.4
12-May,"1,053","245,992,058","233,611","190,000","3,467",4.4
12-Jun,"1,097","260,953,818","237,880","199,000","3,389",4.3
12-Jul,"1,053","247,605,628","235,143","190,000","3,294",4.1
12-Aug,"1,211","281,787,714","232,690","194,000","3,097",3.7
12-Sep,833,"197,374,914","236,945","194,000","2,967",3.5
12-Oct,928,"202,080,118","217,759","179,244","2,817",3.3
12-Nov,774,"179,416,304","231,804","189,000","2,695",3.1
12-Dec,795,"186,343,955","234,395","194,000","2,482",2.8
13-Jan,680,"148,539,312","218,440","182,500","2,466",2.7
13-Feb,753,"168,021,258","223,136","180,700","2,454",2.7
13-Mar,"1,057","255,250,886","241,486","198,000","2,499",2.7
13-Apr,"1,219","306,675,664","251,580","207,500","2,522",2.6
13-May,"1,393","347,796,974","249,675","213,000","2,603",2.6
13-Jun,"1,335","344,846,757","258,312","215,000","2,685",2.7
13-Jul,"1,419","363,640,534","256,265","214,005","2,769",2.7
13-Aug,"1,429","367,785,652","257,373","215,000","2,701",2.6
13-Sep,"1,096","264,646,828","241,466","195,500","2,632",2.5
13-Oct,964,"237,781,469","246,661","201,300","2,542",2.4
13-Nov,863,"206,854,058","239,692","202,000","2,407",2.2
13-Dec,861,"212,330,524","246,609","202,000","2,267",2.1
14-Jan,613,"146,468,916","238,938","196,900","2,289",2.1
14-Feb,763,"187,734,158","246,047","204,465","2,343",2.2
14-Mar,"1,048","272,752,498","260,260","215,000","2,334",2.2
14-Apr,"1,124","293,976,640","261,545","220,000","2,439",2.3
14-May,"1,321","360,526,461","272,919","227,000","2,614",2.4
14-Jun,"1,464","399,768,274","273,066","235,000","2,679",2.5
14-Jul,"1,459","393,545,650","269,737","230,000","2,746",2.5
14-Aug,"1,397","365,936,967","261,945","224,900","2,682",2.5
14-Sep,"1,126","313,147,768","278,106","220,700","2,513",2.3
14-Oct,"1,106","287,288,767","259,755","215,000","2,439",2.2
14-Nov,821,"221,179,237","269,402","225,000","2,296",2.1
14-Dec,"1,036","291,524,464","281,394","235,000","2,131",1.9
15-Jan,659,"187,181,771","284,039","232,500","1,904",1.7
15-Feb,803,"221,416,521","275,737","230,000","1,899",1.7
15-Mar,"1,072","309,317,178","288,542","247,750","1,973",1.8
15-Apr,"1,155","333,942,406","289,128","253,000","2,207",2
15-May,"1,357","410,554,975","302,546","264,950","2,359",2.1
15-Jun,"1,564","472,343,095","302,010","257,000","2,630",2.3
15-Jul,"1,530","446,263,531","291,676","247,250","2,920",2.6
15-Aug,"1,449","435,020,084","300,221","249,900","2,637",2.3
15-Sep,"1,242","348,663,848","280,728","240,000","2,618",2.3
15-Oct,"1,050","305,219,671","290,685","246,688","2,527",2.2
15-Nov,833,"246,922,987","296,426","255,000","2,393",2.1
15-Dec,"1,125","343,186,607","305,055","257,500","2,049",1.8
16-Jan,703,"204,600,941","291,040","248,000","2,184",1.9
16-Feb,956,"279,571,937","292,439","245,544","2,257",1.9
16-Mar,"1,288","410,395,872","318,630","273,548","2,371",2
16-Apr,"1,228","382,558,922","311,530","265,346","2,551",2.1
16-May,"1,430","458,913,143","320,918","278,500","2,637",2.2
16-Jun,"1,520","508,734,913","334,694","282,000","2,810",2.3
16-Jul,"1,421","459,227,152","323,172","279,900","2,987",2.5
16-Aug,"1,523","471,345,812","309,485","269,155","2,895",2.4
16-Sep,"1,320","408,980,489","309,834","263,940","2,776",2.3
16-Oct,"1,126","351,746,241","312,386","270,000","2,679",2.2
16-Nov,"1,014","319,943,834","315,526","275,000","2,445",2
16-Dec,"1,186","383,900,770","323,694","281,650","2,092",1.7
17-Jan,754,"239,424,385","317,539","270,000","2,207",1.8
17-Feb,921,"297,963,014","323,521","283,421","2,352",1.9
17-Mar,"1,253","422,351,748","337,072","296,000","2,686",2.2
17-Apr,"1,268","422,552,689","333,243","296,000","2,788",2.3
17-May,"1,493","523,159,450","350,408","300,370","3,070",2.5
17-Jun,"1,637","577,720,849","352,914","305,000","3,344",2.7
17-Jul,"1,465","504,453,185","344,337","302,000","3,523",2.8
17-Aug,"1,585","540,835,862","341,221","295,000","3,426",2.7
17-Sep,"1,301","426,662,930","327,950","289,000","3,240",2.6
17-Oct,"1,157","390,130,842","337,192","296,000","3,080",2.5
17-Nov,"1,121","390,074,028","347,970","304,500","2,812",2.2
17-Dec,"1,220","420,888,507","344,991","295,000","2,383",1.9
18-Jan,811,"274,665,126","338,675","290,000","2,440",1.9
18-Feb,965,"326,567,045","338,411","299,900","2,623",2.1
18-Mar,"1,242","444,053,421","357,531","315,890","2,882",2.3
18-Apr,"1,279","456,539,993","356,951","312,000","3,177",2.5
18-May,"1,575","555,983,166","353,005","315,000","3,476",2.7
18-Jun,"1,589","584,572,817","367,887","324,700","3,851",3
18-Jul,"1,458","535,719,041","367,434","319,250","3,976",3.1
18-Aug,"1,467","530,963,747","361,938","314,000","3,986",3.2
18-Sep,"1,130","388,334,299","343,659","300,000","3,851",3.1
18-Oct,"1,090","378,747,803","347,475","307,000","3,823",3.1
18-Nov,"1,034","357,177,828","345,433","305,000","3,620",2.9
18-Dec,"1,082","374,373,264","346,001","303,302","3,142",2.6
19-Jan,698,"241,201,616","345,561","299,000","3,380",2.8
19-Feb,923,"319,183,913","345,811","301,828","3,513",2.9
19-Mar,"1,305","474,173,316","363,351","315,800","3,675",3
19-Apr,"1,392","497,372,617","357,308","313,750","4,001",3.3
19-May,"1,652","608,904,783","368,586","322,250","4,309",3.5
19-Jun,"1,498","543,166,037","362,594","320,745","4,450",3.6
19-Jul,"1,681","626,819,282","372,885","322,250","4,361",3.5
19-Aug,"1,653","601,750,724","364,036","315,000","4,192",3.3
19-Sep,"1,239","438,104,175","353,595","310,000","3,988",3.1
19-Oct,"1,280","460,746,031","359,958","312,250","3,811",3
19-Nov,"1,065","381,404,787","358,127","314,500","3,522",2.7
19-Dec,"1,381","495,165,112","358,555","316,224","2,929",2.2
20-Jan,889,"317,659,906","357,323","314,000","3,056",2.3
20-Feb,"1,098","385,941,606","351,495","308,250","3,133",2.3
20-Mar,"1,369","492,559,348","359,795","318,985","3,109",2.3
20-Apr,"1,215","442,589,844","364,271","314,000","3,277",2.5
20-May,"1,257","461,580,137","367,208","322,000","3,375",2.6
20-Jun,"1,799","665,406,775","369,876","324,000","3,148",2.4
20-Jul,"2,064","803,404,491","389,246","335,000","2,941",2.2
20-Aug,"1,807","706,302,632","390,870","335,000","2,584",1.9
20-Sep,"1,646","638,340,491","387,813","330,000","2,320",1.7
20-Oct,"1,649","649,129,720","393,651","342,999","2,059",1.4
20-Nov,"1,378","542,525,448","393,705","340,000","1,653",1.1
20-Dec,"1,511","605,068,571","400,442","344,900","1,262",0.9
21-Jan,928,"371,770,505","400,615","331,850","1,199",0.8
21-Feb,960,"393,199,001","409,582","348,714","1,039",0.7
21-Mar,"1,241","547,449,517","441,136","370,000","1,177",0.8
21-Apr,"1,404","651,907,928","464,322","392,857","1,257",0.9
21-May,"1,505","692,601,651","460,200","395,000","1,201",0.8
21-Jun,"1,624","782,832,942","482,040","400,000","1,433",1
21-Jul,"1,594","762,046,941","478,072","405,000","1,760",1.2
21-Aug,"1,573","789,861,327","502,137","407,250","1,670",1.2
21-Sep,"1,512","721,320,997","477,064","399,000","1,503",1.1
21-Oct,"1,383","663,347,304","479,644","400,500","1,312",0.9
21-Nov,"1,301","619,032,414","475,813","412,000","1,179",0.9
21-Dec,"1,396","666,694,906","477,575","410,000",800,0.6
