Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,62,"8,246,844","133,014","125,950",,
11-Feb,80,"12,569,119","157,114","145,100",,
11-Mar,122,"16,648,197","136,461","117,777",,
11-Apr,105,"14,474,588","137,853","130,000",,
11-May,133,"18,886,825","142,006","134,000",,
11-Jun,141,"21,421,771","151,927","133,000",,
11-Jul,111,"15,812,827","142,458","129,000",,
11-Aug,158,"25,320,614","160,257","142,750",,
11-Sep,118,"16,369,008","138,720","121,500",,
11-Oct,105,"16,216,322","154,441","135,000",,
11-Nov,90,"12,112,218","134,580","130,148",,
11-Dec,143,"19,175,261","134,093","120,000",,
12-Jan,96,"14,167,118","147,574","150,000",,
12-Feb,99,"14,391,618","145,370","136,500",,
12-Mar,138,"19,373,402","140,387","124,900",,
12-Apr,126,"19,026,055","151,000","135,000",,
12-May,159,"27,201,799","171,080","154,150",,
12-Jun,164,"27,315,191","166,556","145,000",,
12-Jul,139,"23,384,681","168,235","142,900",,
12-Aug,184,"28,511,088","154,952","141,815",,
12-Sep,132,"20,863,416","158,056","143,000",,
12-Oct,136,"23,134,128","170,104","159,500",,
12-Nov,107,"16,922,136","158,151","150,000",,
12-Dec,129,"20,339,693","157,672","142,000",,
13-Jan,107,"16,894,110","157,889","136,900",,
13-Feb,109,"16,447,718","150,896","141,000",,
13-Mar,140,"22,181,478","158,439","146,250",,
13-Apr,175,"28,606,504","163,466","149,915",,
13-May,186,"33,153,836","178,246","163,750",,
13-Jun,170,"28,280,058","166,353","148,750",,
13-Jul,188,"32,928,592","175,152","155,000",,
13-Aug,199,"34,938,905","175,572","164,000",,
13-Sep,167,"30,669,293","183,648","168,000",,
13-Oct,134,"25,381,709","189,416","160,850",,
13-Nov,133,"23,504,719","176,727","151,000",,
13-Dec,127,"21,359,279","168,183","150,000",,
14-Jan,125,"20,391,842","163,135","155,000",,
14-Feb,143,"23,924,349","167,303","154,900",,
14-Mar,174,"32,141,132","184,719","164,500",,
14-Apr,165,"29,795,017","180,576","164,990",,
14-May,202,"37,116,282","183,744","165,998",,
14-Jun,200,"36,882,345","184,412","164,425",,
14-Jul,210,"40,860,784","194,575","180,000",,
14-Aug,213,"40,517,246","190,222","157,388",,
14-Sep,169,"31,466,236","186,191","165,000",,
14-Oct,171,"30,456,247","178,107","160,000",,
14-Nov,150,"27,501,525","183,344","158,950",,
14-Dec,170,"32,421,712","190,716","169,995",,
15-Jan,120,"21,726,710","181,056","175,000",524,3
15-Feb,138,"26,194,583","189,816","170,000",506,2.9
15-Mar,200,"38,228,006","191,140","175,000",477,2.7
15-Apr,166,"34,211,200","206,092","192,805",529,3
15-May,226,"46,435,537","205,467","188,440",517,2.9
15-Jun,227,"48,402,264","213,226","190,000",575,3.2
15-Jul,249,"51,910,924","208,478","189,000",628,3.4
15-Aug,228,"45,945,761","201,516","184,500",541,2.9
15-Sep,221,"45,933,944","207,846","187,000",569,3
15-Oct,199,"39,251,990","197,246","181,000",532,2.8
15-Nov,178,"34,286,753","192,622","180,750",499,2.6
15-Dec,185,"40,715,734","220,085","204,900",430,2.2
16-Jan,132,"27,814,289","210,714","186,450",477,2.4
16-Feb,141,"30,939,822","219,431","196,000",512,2.6
16-Mar,215,"47,915,284","222,862","210,000",486,2.5
16-Apr,219,"48,783,334","222,755","205,000",495,2.5
16-May,233,"53,176,581","228,226","214,990",508,2.5
16-Jun,290,"68,654,694","236,740","220,000",533,2.6
16-Jul,241,"56,800,524","235,687","220,000",524,2.5
16-Aug,252,"58,686,585","232,883","219,500",539,2.6
16-Sep,250,"57,710,623","230,842","220,450",526,2.5
16-Oct,190,"45,099,369","237,365","217,500",518,2.5
16-Nov,204,"50,154,426","245,855","237,000",463,2.2
16-Dec,201,"48,385,159","240,722","215,238",408,1.9
17-Jan,144,"34,196,025","237,472","225,541",400,1.9
17-Feb,171,"41,336,406","241,733","213,200",446,2.1
17-Mar,220,"53,572,327","243,511","235,000",460,2.1
17-Apr,224,"54,359,598","242,677","233,500",472,2.2
17-May,259,"64,372,896","248,544","230,000",527,2.4
17-Jun,249,"62,396,373","250,588","239,900",579,2.7
17-Jul,247,"63,862,907","258,554","238,000",614,2.8
17-Aug,269,"68,645,069","255,186","244,500",611,2.8
17-Sep,212,"56,169,557","264,951","250,445",650,3
