Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,85,"9,730,204","114,473","92,250",,
11-Feb,75,"8,220,305","109,604","99,500",,
11-Mar,128,"14,959,158","116,868","103,000",,
11-Apr,121,"12,288,285","101,556","90,000",,
11-May,115,"12,489,836","108,607","108,213",,
11-Jun,142,"16,713,090","117,698","107,000",,
11-Jul,110,"13,126,024","119,327","104,250",,
11-Aug,144,"19,382,762","134,603","124,850",,
11-Sep,107,"14,658,038","136,991","110,000",,
11-Oct,98,"11,497,874","117,325","97,000",,
11-Nov,93,"9,654,028","103,807","94,900",,
11-Dec,115,"14,172,546","123,240","100,000",,
12-Jan,77,"7,299,114","94,794","72,000",,
12-Feb,90,"10,252,388","113,915","98,950",,
12-Mar,140,"19,639,626","140,283","114,675",,
12-Apr,110,"13,122,228","119,293","104,150",,
12-May,152,"19,076,261","125,502","103,500",,
12-Jun,147,"17,113,588","116,419","103,750",,
12-Jul,133,"17,579,955","132,180","117,000",,
12-Aug,145,"18,707,108","129,015","114,950",,
12-Sep,131,"15,879,219","121,215","112,000",,
12-Oct,140,"16,445,862","117,470","108,700",,
12-Nov,116,"14,660,419","126,383","112,500",,
12-Dec,118,"16,086,635","136,327","121,325",,
13-Jan,101,"12,757,927","126,316","113,187",,
13-Feb,117,"15,633,222","133,617","124,475",,
13-Mar,160,"22,215,679","138,848","115,000",,
13-Apr,158,"21,896,222","138,584","125,000",,
13-May,154,"19,860,881","128,967","105,500",,
13-Jun,141,"20,168,603","143,040","133,500",,
13-Jul,147,"21,792,332","148,247","135,000",,
13-Aug,199,"28,639,140","143,915","129,900",,
13-Sep,147,"20,201,974","137,428","126,500",,
13-Oct,139,"18,551,545","133,464","126,250",,
13-Nov,133,"19,759,045","148,564","130,000",,
13-Dec,148,"21,089,209","142,495","126,000",,
14-Jan,126,"17,265,020","137,024","114,625",,
14-Feb,136,"19,423,994","142,823","126,050",,
14-Mar,154,"21,582,346","140,145","129,450",,
14-Apr,179,"25,704,431","143,600","128,000",,
14-May,208,"33,431,363","160,728","145,000",,
14-Jun,205,"34,010,802","165,906","145,000",,
14-Jul,198,"33,743,995","170,424","149,500",,
14-Aug,218,"35,018,888","160,637","145,000",,
14-Sep,173,"26,504,614","153,206","140,250",,
14-Oct,155,"22,873,952","147,574","135,000",,
14-Nov,133,"20,739,636","155,937","140,000",,
14-Dec,163,"27,309,233","167,541","157,500",,
15-Jan,108,"17,975,137","166,436","132,500",541,3.2
15-Feb,129,"19,409,951","150,465","138,400",487,2.9
15-Mar,172,"26,904,091","156,419","138,000",496,2.9
15-Apr,171,"27,551,635","161,121","146,000",494,2.9
15-May,203,"35,275,442","173,771","142,000",483,2.9
15-Jun,209,"35,089,241","167,891","145,000",492,2.9
15-Jul,225,"37,585,299","167,046","157,000",541,3.2
15-Aug,210,"37,606,289","179,078","158,950",509,3
15-Sep,196,"34,593,322","176,497","159,750",503,2.9
