Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,64,"7,578,956","118,421","117,995",,
11-Feb,63,"7,672,050","121,779","112,900",,
11-Mar,100,"10,263,751","102,638","101,500",,
11-Apr,86,"9,613,620","111,786","109,875",,
11-May,107,"14,469,278","135,227","137,000",,
11-Jun,101,"12,222,733","121,017","103,150",,
11-Jul,92,"11,805,710","128,323","118,600",,
11-Aug,112,"14,579,606","130,175","120,000",,
11-Sep,100,"12,879,550","128,796","124,000",,
11-Oct,95,"10,698,416","112,615","102,000",,
11-Nov,99,"10,585,220","106,921","103,625",,
11-Dec,90,"11,556,232","128,403","118,750",,
12-Jan,66,"7,757,002","117,530","110,490",,
12-Feb,85,"8,997,540","105,853","105,000",,
12-Mar,87,"11,993,649","137,858","125,000",,
12-Apr,75,"9,481,892","126,425","126,990",,
12-May,128,"17,722,898","138,460","122,445",,
12-Jun,134,"17,190,802","128,290","131,000",,
12-Jul,113,"16,065,531","142,173","134,500",,
12-Aug,139,"20,251,234","145,692","140,495",,
12-Sep,108,"14,754,326","136,614","134,050",,
12-Oct,129,"17,826,338","138,189","125,800",,
12-Nov,108,"14,284,933","132,268","132,397",,
12-Dec,103,"15,134,631","146,938","131,000",,
13-Jan,104,"14,762,653","141,949","136,250",,
13-Feb,108,"15,550,672","143,988","133,398",,
13-Mar,118,"16,858,611","142,870","135,200",,
13-Apr,137,"20,571,451","150,157","134,000",,
13-May,171,"25,736,008","150,503","139,900",,
13-Jun,136,"19,995,105","147,023","132,150",,
13-Jul,172,"28,575,075","166,134","154,250",,
13-Aug,180,"29,746,060","165,256","155,543",,
13-Sep,125,"19,494,022","155,952","145,799",,
13-Oct,128,"20,264,586","158,317","145,500",,
13-Nov,101,"14,505,026","143,614","138,000",,
13-Dec,107,"16,936,092","158,281","141,500",,
14-Jan,122,"18,888,871","154,827","151,050",,
14-Feb,126,"20,906,448","165,924","149,950",,
14-Mar,137,"22,657,039","165,380","155,000",,
14-Apr,139,"20,715,880","149,035","140,000",,
14-May,171,"28,759,795","168,186","149,999",,
14-Jun,152,"24,158,173","158,935","154,250",,
14-Jul,157,"25,241,454","160,774","145,000",,
14-Aug,155,"26,737,305","172,499","163,000",,
14-Sep,140,"23,544,680","168,176","158,750",,
14-Oct,147,"23,305,502","158,541","150,000",,
