Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,55,"8,167,590","148,502","140,000",,
11-Feb,83,"14,470,268","174,341","169,000",,
11-Mar,121,"19,872,100","164,232","145,000",,
11-Apr,123,"20,553,584","167,102","150,005",,
11-May,117,"21,519,969","183,931","151,301",,
11-Jun,117,"21,130,918","180,606","160,000",,
11-Jul,121,"22,179,962","183,305","160,000",,
11-Aug,148,"27,419,899","185,270","160,450",,
11-Sep,136,"24,807,542","182,408","163,000",,
11-Oct,112,"19,811,873","176,892","149,750",,
11-Nov,107,"18,911,212","176,740","169,900",,
11-Dec,96,"17,187,150","179,033","165,000",,
12-Jan,79,"13,849,403","175,309","165,000",,
12-Feb,82,"12,652,367","154,297","144,000",,
12-Mar,125,"20,821,656","166,573","140,000",,
12-Apr,118,"21,763,175","184,434","169,000",,
12-May,131,"25,650,334","195,804","172,900",,
12-Jun,158,"29,154,073","184,519","173,000",,
12-Jul,145,"26,295,807","181,350","162,000",,
12-Aug,138,"28,637,449","207,518","173,500",,
12-Sep,118,"21,792,675","184,684","165,000",,
12-Oct,121,"21,305,388","176,078","155,000",,
12-Nov,122,"24,419,055","200,156","184,750",,
12-Dec,110,"23,648,068","214,982","188,950",,
13-Jan,103,"18,959,764","184,075","163,200",,
13-Feb,98,"19,543,513","199,424","166,750",,
13-Mar,167,"32,033,910","191,820","179,000",,
13-Apr,143,"28,565,777","199,761","184,000",,
13-May,196,"40,721,561","207,763","196,950",,
13-Jun,163,"34,706,380","212,923","188,000",,
13-Jul,202,"43,467,723","215,187","191,750",,
13-Aug,193,"38,292,224","198,405","185,000",,
13-Sep,167,"32,555,923","194,946","170,000",,
13-Oct,149,"31,093,296","208,680","185,000",,
13-Nov,153,"28,385,391","185,525","174,000",,
13-Dec,121,"24,137,369","199,482","171,300",,
14-Jan,81,"16,872,851","208,307","164,500",,
14-Feb,110,"22,925,951","208,418","199,900",,
14-Mar,151,"30,798,714","203,965","185,000",,
14-Apr,141,"31,022,136","220,015","190,000",,
14-May,191,"41,237,332","215,902","195,000",,
14-Jun,203,"45,079,828","222,068","199,900",,
14-Jul,173,"40,307,856","232,993","213,000",,
14-Aug,209,"49,311,812","235,942","209,900",,
14-Sep,175,"36,675,484","209,574","190,000",,
14-Oct,173,"41,671,014","240,873","205,000",,
14-Nov,140,"32,156,917","229,692","214,900",,
14-Dec,142,"28,966,290","203,988","182,000",,
15-Jan,112,"23,630,713","210,989","180,750",669,4.2
15-Feb,120,"24,185,320","201,544","191,250",640,4
15-Mar,189,"46,244,110","244,678","223,995",632,3.9
15-Apr,176,"39,988,431","227,207","194,990",665,4
15-May,183,"43,454,110","237,454","217,900",665,4
15-Jun,225,"53,347,585","237,100","225,000",698,4.2
15-Jul,220,"56,710,102","257,773","237,750",748,4.3
15-Aug,194,"47,948,579","247,158","221,000",704,4.1
15-Sep,208,"51,241,186","246,352","229,000",742,4.3
15-Oct,166,"36,196,976","218,054","193,632",693,4
15-Nov,134,"30,867,813","230,357","192,500",702,4.1
15-Dec,183,"43,122,602","235,643","222,000",633,3.6
16-Jan,110,"25,259,819","229,635","202,968",630,3.6
16-Feb,152,"35,267,116","232,020","215,450",640,3.6
16-Mar,180,"43,253,374","240,297","215,000",719,4
16-Apr,186,"44,241,359","237,857","214,900",751,4.2
16-May,223,"57,450,704","257,626","239,900",706,3.9
16-Jun,257,"63,495,425","247,064","229,900",747,4.1
16-Jul,229,"56,247,770","245,623","230,199",747,4
16-Aug,234,"58,790,583","251,242","224,900",768,4.1
16-Sep,216,"54,409,630","251,896","235,940",769,4.1
16-Oct,198,"49,039,370","247,674","229,250",727,3.8
16-Nov,175,"42,871,875","244,982","218,000",733,3.8
16-Dec,199,"51,142,090","256,995","233,000",628,3.2
17-Jan,157,"38,956,357","248,130","228,000",624,3.1
17-Feb,150,"40,587,204","270,581","246,200",639,3.2
17-Mar,219,"54,224,875","247,602","225,000",702,3.4
17-Apr,216,"58,615,178","271,367","252,500",710,3.4
17-May,258,"71,051,156","275,392","269,264",768,3.7
17-Jun,297,"80,465,476","270,928","260,000",759,3.6
17-Jul,243,"68,381,040","281,403","281,125",790,3.7
17-Aug,271,"77,314,870","285,295","273,000",768,3.5
17-Sep,232,"65,938,649","284,218","279,500",773,3.5
17-Oct,206,"61,891,841","300,446","270,000",773,3.5
17-Nov,192,"51,336,116","267,376","239,000",751,3.4
17-Dec,216,"60,661,191","280,839","279,950",641,2.9
18-Jan,145,"39,753,783","274,164","260,000",671,3
18-Feb,161,"43,614,442","270,897","259,760",676,3.1
18-Mar,227,"64,465,149","283,987","268,900",721,3.2
18-Apr,262,"78,701,526","300,388","274,950",751,3.3
18-May,293,"90,092,005","307,481","290,000",760,3.3
18-Jun,300,"97,569,579","325,232","300,000",793,3.5
18-Jul,285,"84,432,048","296,253","277,500",762,3.3
18-Aug,304,"92,996,051","305,908","293,900",735,3.1
18-Sep,210,"63,156,264","300,744","275,000",680,2.9
18-Oct,205,"62,774,021","306,215","292,500",647,2.8
18-Nov,170,"48,506,173","285,330","265,000",627,2.7
18-Dec,200,"60,020,200","300,101","287,500",541,2.4
19-Jan,122,"35,071,306","287,470","254,450",614,2.7
19-Feb,158,"46,053,233","291,476","274,046",643,2.8
19-Mar,212,"63,785,436","300,875","285,000",680,3
19-Apr,224,"67,154,343","299,796","268,000",718,3.2
19-May,271,"83,634,194","308,613","290,000",779,3.5
19-Jun,254,"78,877,899","310,543","299,900",882,4
19-Jul,295,"95,817,526","324,805","299,000",947,4.3
19-Aug,289,"87,526,286","302,859","281,760",904,4.2
19-Sep,229,"72,602,671","317,042","300,000",906,4.1
19-Oct,260,"80,214,427","308,517","292,750",887,4
19-Nov,208,"64,375,068","309,496","271,250",847,3.7
19-Dec,228,"68,371,105","299,873","275,000",745,3.3
20-Jan,135,"40,373,430","299,062","274,900",784,3.4
20-Feb,171,"56,069,974","327,895","310,000",792,3.4
20-Mar,250,"83,209,771","332,839","312,500",831,3.5
20-Apr,233,"73,712,782","316,364","306,926",851,3.6
20-May,233,"75,281,528","323,097","310,000",805,3.5
20-Jun,311,"110,266,321","354,554","335,000",783,3.3
20-Jul,362,"120,291,457","332,297","320,490",782,3.2
20-Aug,317,"106,983,269","337,487","316,815",744,3
20-Sep,306,"108,608,248","354,929","324,800",670,2.7
20-Oct,345,"122,676,909","355,585","330,000",630,2.4
20-Nov,247,"89,949,261","364,167","337,525",540,2.1
20-Dec,327,"113,497,435","347,087","320,000",451,1.7
21-Jan,214,"74,825,948","349,654","314,750",483,1.7
21-Feb,194,"70,709,677","364,483","351,000",394,1.4
21-Mar,270,"105,906,272","392,245","354,000",370,1.3
21-Apr,255,"105,926,835","415,399","371,000",373,1.3
21-May,280,"113,179,036","404,211","378,708",364,1.3
21-Jun,280,"120,995,975","432,128","385,122",399,1.4
21-Jul,292,"126,777,764","434,170","387,518",545,2
21-Aug,288,"119,002,364","413,203","383,372",593,2.2
21-Sep,320,"135,785,145","424,329","382,500",591,2.1
21-Oct,285,"115,266,742","404,445","383,488",607,2.2
21-Nov,319,"138,729,072","434,887","405,500",514,1.9
21-Dec,323,"140,998,265","436,527","412,561",468,1.7
