Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
11-Jan,898,"148,573,563","165,449","130,000",,
11-Feb,945,"154,063,910","163,031","127,300",,
11-Mar,"1,427","236,740,897","165,901","127,000",,
11-Apr,"1,584","263,981,066","166,655","124,200",,
11-May,"1,727","308,416,400","178,585","133,250",,
11-Jun,"1,893","342,987,566","181,187","136,555",,
11-Jul,"1,617","283,730,291","175,467","133,087",,
11-Aug,"1,797","336,608,217","187,317","140,000",,
11-Sep,"1,577","281,560,613","178,542","133,000",,
11-Oct,"1,345","229,348,414","170,519","132,688",,
11-Nov,"1,285","226,036,151","175,904","133,000",,
11-Dec,"1,349","233,805,627","173,318","133,900",,
12-Jan,"1,048","171,406,018","163,555","130,000",,
12-Feb,"1,237","209,588,494","169,433","130,000",,
12-Mar,"1,596","276,346,733","173,150","139,900",,
12-Apr,"1,729","313,336,005","181,224","140,000",,
12-May,"1,986","381,328,826","192,008","144,000",,
12-Jun,"2,084","417,825,484","200,492","149,750",,
12-Jul,"1,994","400,434,454","200,820","149,000",,
12-Aug,"2,153","419,795,059","194,981","145,000",,
12-Sep,"1,584","290,184,246","183,197","142,538",,
12-Oct,"1,696","307,678,063","181,414","139,900",,
12-Nov,"1,475","256,121,278","173,642","136,000",,
12-Dec,"1,545","290,339,704","187,922","139,000",,
13-Jan,"1,248","204,963,582","164,234","129,500",,
13-Feb,"1,492","264,837,715","177,505","143,044",,
13-Mar,"2,030","389,271,785","191,760","149,000",,
13-Apr,"2,151","416,016,220","193,406","150,500",,
13-May,"2,570","532,345,144","207,138","155,000",,
13-Jun,"2,358","495,445,379","210,113","158,000",,
13-Jul,"2,489","528,142,456","212,191","160,500",,
13-Aug,"2,405","490,740,052","204,050","158,000",,
13-Sep,"1,954","386,861,922","197,985","153,000",,
13-Oct,"1,970","383,302,766","194,570","150,000",,
13-Nov,"1,623","313,022,575","192,867","150,000",,
13-Dec,"1,782","352,762,553","197,959","153,375",,
14-Jan,"1,285","242,259,777","188,529","144,350",,
14-Feb,"1,481","291,470,020","196,806","150,000",,
14-Mar,"1,896","381,312,375","201,114","155,572",,
14-Apr,"2,171","452,422,772","208,394","160,000",,
14-May,"2,537","547,114,290","215,654","163,900",,
14-Jun,"2,587","587,768,232","227,201","169,900",,
14-Jul,"2,558","558,653,617","218,395","168,950",,
14-Aug,"2,472","552,418,476","223,470","169,900",,
14-Sep,"2,165","452,850,111","209,169","161,750",,
14-Oct,"2,215","461,482,671","208,344","163,000",,
14-Nov,"1,623","330,239,144","203,475","164,220",,
